year,stream_date,channel_name,stream_title,duration,duration_minutes,avg_viewers,peak_viewers,hours_watched,followers_gained,views_gained,source_stream_id,twitchtracker_url
2021,2021-09-30,classictetris,CTWC 2021 || Qualification Showcase || !qual !merch,15h5m,905,462,644,6968,29,6484.0,43895833869,https://twitchtracker.com/classictetris/streams/43895833869
2021,2021-10-01,classictetris,CTWC 2021 || Qualification Showcase || !qual !merch,8h55m,535,474,734,4226,12,3373.0,43906791965,https://twitchtracker.com/classictetris/streams/43906791965
2021,2021-10-01,classictetris,CTWC 2021 || Qualification Showcase || !qual !merch || A = 10,8h34m,514,522,723,4471,31,3471.0,43911726573,https://twitchtracker.com/classictetris/streams/43911726573
2021,2021-10-01,classictetris2,CTWC 2021 || Qualification Showcase || !qual !merch,2h31m,151,177,232,445,25,303.0,43909018365,https://twitchtracker.com/classictetris2/streams/43909018365
2021,2021-10-02,classictetris,"CTWC 2021 || Qualification Showcase || !qual !merch || A = 10, B = 11, C = 12",17h40m,1060,776,1236,13709,83,8113.0,43919781933,https://twitchtracker.com/classictetris/streams/43919781933
2021,2021-10-02,classictetris2,CTWC 2021 || Qualification Showcase || !qual !merch,5h44m,344,170,288,974,50,746.0,43912728957,https://twitchtracker.com/classictetris2/streams/43912728957
2021,2021-10-02,classictetris2,CTWC 2021 || Qualification Showcase || !qual !merch,1h1m,61,62,72,63,3,47.0,43921483869,https://twitchtracker.com/classictetris2/streams/43921483869
2021,2021-10-02,classictetris2,CTWC 2021 || Qualification Showcase || !qual !merch,4h37m,277,114,154,526,32,538.0,43923062829,https://twitchtracker.com/classictetris2/streams/43923062829
2021,2021-10-03,classictetris,"CTWC 2021 || Qualification Showcase || !qual !merch || A = 10, B = 11, C = 12",20h32m,1232,706,1546,14496,109,11001.0,43933674797,https://twitchtracker.com/classictetris/streams/43933674797
2021,2021-10-03,classictetris2,CTWC 2021 || Qualification Showcase || !qual !merch,4h38m,278,154,209,713,20,563.0,43926722685,https://twitchtracker.com/classictetris2/streams/43926722685
2021,2021-10-03,classictetris2,CTWC 2021 || Qualification Showcase || !qual !merch,10h8m,608,214,343,2168,82,2119.0,43936783597,https://twitchtracker.com/classictetris2/streams/43936783597
2021,2021-10-08,classictetris,CTWC 2021 Clash | !merch,5h45m,345,386,557,2219,40,1844.0,43478815164,https://twitchtracker.com/classictetris/streams/43478815164
2021,2021-10-09,classictetris,CTWC 2021 || Group A || !bracket !merch,7h12m,432,1678,2348,12081,97,7578.0,44012376957,https://twitchtracker.com/classictetris/streams/44012376957
2021,2021-10-09,classictetris2,CTWC 2021 || Group B || !merch,9h32m,572,1227,1931,11697,416,8229.0,44011798637,https://twitchtracker.com/classictetris2/streams/44011798637
2021,2021-10-10,classictetris,CTWC 2021 || Group C || !bracket !merch !sponsor,8h9m,489,1519,2280,12379,90,8661.0,44025318701,https://twitchtracker.com/classictetris/streams/44025318701
2021,2021-10-10,classictetris2,CTWC 2021 || Group D || !bracket !merch,7h56m,476,1423,2030,11289,313,6912.0,44024795069,https://twitchtracker.com/classictetris2/streams/44024795069
2021,2021-10-16,classictetris,CTWC 2021 || Group E || !bracket !merch !sponsor,7h55m,475,2167,3136,17155,144,21127.0,44076596813,https://twitchtracker.com/classictetris/streams/44076596813
2021,2021-10-16,classictetris2,CTWC 2021 || Group F || !bracket !merch !sponsor,7h34m,454,1214,2139,9185,136,7184.0,43545685740,https://twitchtracker.com/classictetris2/streams/43545685740
2021,2021-10-17,classictetris,CTWC 2021 || Group G || !bracket !merch !sponsor,8h42m,522,1655,2375,14398,166,10056.0,44096794733,https://twitchtracker.com/classictetris/streams/44096794733
2021,2021-10-17,classictetris2,CTWC 2021 || Group F || !bracket !merch !sponsor,7h24m,444,2881,15326,21319,276,263765.0,43555219372,https://twitchtracker.com/classictetris2/streams/43555219372
2021,2021-10-23,classictetris,CTWC 2021 || Silver Bracket Day 1 || !bracket !merch !sponsor,8h21m,501,1993,11558,16641,142,104103.0,40107692507,https://twitchtracker.com/classictetris/streams/40107692507
2021,2021-10-23,classictetris2,CTWC 2021 || Bronze Bracket Day 1 || !bracket !merch !sponsor,6h9m,369,3877,16721,23843,140,276301.0,43605961036,https://twitchtracker.com/classictetris2/streams/43605961036
2021,2021-10-24,classictetris,CTWC 2021 || Silver Bracket Top 8 || !bracket !merch !sponsor,5h13m,313,4907,17213,25598,232,255881.0,44178106445,https://twitchtracker.com/classictetris/streams/44178106445
2021,2021-10-24,classictetris2,CTWC 2021 || Bronze Bracket Day 1 || !bracket !merch !sponsor,6h12m,372,4605,19151,28551,212,403867.0,43615502540,https://twitchtracker.com/classictetris2/streams/43615502540
2021,2021-11-14,classictetris,2021 CTWC || Main Event (Top 8) || !bracket !merch !sponsor,12h11m,731,4304,7499,52437,821,41769.0,44421130157,https://twitchtracker.com/classictetris/streams/44421130157
2021,2021-11-14,classictetris3,CTWC 2021 || TOP 8 || French || !bracket !merch !sponsor,9h53m,593,84,135,830,61,528.0,43813928380,https://twitchtracker.com/classictetris3/streams/43813928380
2021,2021-11-14,classictetris4,CTWC 2021 || TOP 8 || Retransmisión en español || !bracket !merch !sponsor,8h49m,529,766,1107,6753,108,91486.0,44433992733,https://twitchtracker.com/classictetris4/streams/44433992733
2021,2021-11-14,classictetris5,CTWC 2021 || Top 8 || Portuguese || !bracket !merch !sponsor,8h23m,503,17,30,142,31,130.0,40217981291,https://twitchtracker.com/classictetris5/streams/40217981291
2021,2021-11-14,classictetris7,CTWC 2021 || TOP 8 || Cantonese || !bracket !merch !sponsor,8h8m,488,9,15,73,22,167.0,44434002861,https://twitchtracker.com/classictetris7/streams/44434002861
2021,2021-11-14,classictetris8,CTWC 2021 || Top 8 || Polish || !bracket !merch !sponsor,4h5m,245,11,18,44,8,,44433972781,https://twitchtracker.com/classictetris8/streams/44433972781
2022,2022-10-14,classictetris,CTWC 2022 Qualifying Day,11h36m,696,1119,2698,12980,146,,41379437635,https://twitchtracker.com/classictetris/streams/41379437635
2022,2022-10-14,classictetris2,CTWC 2022 Qualifying Day,11h31m,691,262,409,3017,79,,41389664251,https://twitchtracker.com/classictetris2/streams/41389664251
2022,2022-10-14,classictetris3,CTWC DAS 2022 || 8ème de Finale/Top16 || Restream Francophone || !bracket !merch !sponsor,1h55m,115,21,32,40,25,,47303066429,https://twitchtracker.com/classictetris3/streams/47303066429
2022,2022-10-14,classictetris4,CTWC 2022 Qualifying,9h4m,544,32,61,290,94,,41389945115,https://twitchtracker.com/classictetris4/streams/41389945115
2022,2022-10-15,classictetris,CTWC 2022 Day 2,6h18m,378,1963,2555,12366,94,,41394266443,https://twitchtracker.com/classictetris/streams/41394266443
2022,2022-10-15,classictetris2,CTWC 2022 Day 2,5h52m,352,608,971,3566,90,,41394282155,https://twitchtracker.com/classictetris2/streams/41394282155
2022,2022-10-15,classictetris3,CTWC 2022 Qualifiers Group 5,2h16m,136,309,414,700,102,,40351909593,https://twitchtracker.com/classictetris3/streams/40351909593
2022,2022-10-15,classictetris3,CTWC 2022 Silver Bracket,5h56m,356,109,670,646,114,,41394390699,https://twitchtracker.com/classictetris3/streams/41394390699
2022,2022-10-15,classictetris4,CTWC 2022 Qualifying,8h5m,485,65,156,525,173,,41393960043,https://twitchtracker.com/classictetris4/streams/41393960043
2022,2022-10-15,classictetris5,[Japanese] Classic Tetris World Championship 2022,8h59m,539,15,41,134,36,,39769227335,https://twitchtracker.com/classictetris5/streams/39769227335
2022,2022-10-15,classictetris8,Classic Tetris World Championship 2022 - Retransmisión en Español!,5h48m,348,11,19,63,7,,40352657897,https://twitchtracker.com/classictetris8/streams/40352657897
2022,2022-10-16,classictetris,CTWC 2022 Day 3 - Gold Bracket Finals,7h42m,462,3859,6232,29714,466,,41397993435,https://twitchtracker.com/classictetris/streams/41397993435
2022,2022-10-16,classictetris2,CTWC 2022 Day 3 - Gold Bracket Finals,2h43m,163,810,1546,2200,75,,41397896427,https://twitchtracker.com/classictetris2/streams/41397896427
2022,2022-10-16,classictetris3,CTWC 2022 Silver Bracket Final Rounds,2h27m,147,287,741,703,68,,41398052011,https://twitchtracker.com/classictetris3/streams/41398052011
2022,2022-10-16,classictetris5,[Japanese] Classic Tetris World Championship 2022,7h51m,471,27,50,211,17,,39772127751,https://twitchtracker.com/classictetris5/streams/39772127751
2022,2022-10-16,classictetris8,Classic Tetris World Championship 2022 - Retransmisión en Español!,7h26m,446,16,23,118,9,,40357168521,https://twitchtracker.com/classictetris8/streams/40357168521
2023,2023-10-13,classictetris,CTWC 2023 Day 1: Qualifying | !qual !squad !jersey !matcherino,9h26m,566,869,1109,8197,94,,49484154941,https://twitchtracker.com/classictetris/streams/49484154941
2023,2023-10-13,classictetris2,CTWC 2023 Day 1: Qualifying | !qual !jersey !matcherino,9h36m,576,176,370,1689,82,,42906022571,https://twitchtracker.com/classictetris2/streams/42906022571
2023,2023-10-13,classictetris3,CTWC 2023 Day 1: Qualifying | !qual !jersey !matcherino,9h6m,546,72,112,655,165,,42906029387,https://twitchtracker.com/classictetris3/streams/42906029387
2023,2023-10-14,classictetris,"CTWC 2023 Day 2: Final Quals, Gold Bracket | !qual !squad !jersey !matcherino",7h27m,447,1431,2228,10660,105,,49489971261,https://twitchtracker.com/classictetris/streams/49489971261
2023,2023-10-14,classictetris2,"CTWC 2023 Day 2: Final Quals, Gold Bracket | !qual !jersey !matcherino",9h53m,593,375,729,3706,114,,42910549195,https://twitchtracker.com/classictetris2/streams/42910549195
2023,2023-10-14,classictetris3,CTWC 2023 Day 1: Qualifying | !qual !jersey !matcherino,9h31m,571,98,723,932,148,,42910552587,https://twitchtracker.com/classictetris3/streams/42910552587
2023,2023-10-15,classictetris,CTWC 2023 Day 2: Gold Bracket Top 32 | !qual !squad !jersey !matcherino,4h50m,290,1238,1637,5983,55,,49493489101,https://twitchtracker.com/classictetris/streams/49493489101
2023,2023-10-15,classictetris,CTWC 2023 Day 3: Gold Bracket FINAL | !bracket !squad !jersey !matcherino,8h18m,498,3048,4471,25298,224,,49497856333,https://twitchtracker.com/classictetris/streams/49497856333
2023,2023-10-15,classictetris2,CTWC 2023 Day 3: Gold Bracket Top 16 | !jersey !bracket !matcherino,1h51m,111,637,845,1178,23,,42916055707,https://twitchtracker.com/classictetris2/streams/42916055707
2023,2023-10-15,classictetris2,CTWC 2023 Day 3: Gold Bracket Top 8 EN ESPAÑOL | !jersey !bracket !matcherino,5h40m,340,45,74,255,10,,42916729323,https://twitchtracker.com/classictetris2/streams/42916729323
2023,2023-10-15,classictetris3,[日本語] CTWC 2023 Japanese Commentary | !qual !jersey !matcherino,8h6m,486,43,70,348,25,,40719793655,https://twitchtracker.com/classictetris3/streams/40719793655
2023,2023-10-15,classictetris4,CTWC 2023 Final 8 - POLSKI KOMENTARZ,5h0m,300,13,21,65,2,,42916758699,https://twitchtracker.com/classictetris4/streams/42916758699
2023,2023-10-15,classictetris5,[French] Championnat du Monde de Tetris Classique (commenté par Gunter),6h33m,393,6,9,39,0,,41246219976,https://twitchtracker.com/classictetris5/streams/41246219976
2024,2024-06-07,classictetris,Classic Tetris World Championship XV - Day 1 Qualifying,7h16m,436,1206,1641,8763,249,,44313749995,https://twitchtracker.com/classictetris/streams/44313749995
2024,2024-06-07,classictetris2,Classic Tetris World Championship | CTWC 2024 | Qualifying,7h15m,435,260,397,1885,138,,51269295085,https://twitchtracker.com/classictetris2/streams/51269295085
2024,2024-06-07,classictetris3,Classic Tetris World Championship XV - Qualifying,7h15m,435,109,140,790,127,,44313730955,https://twitchtracker.com/classictetris3/streams/44313730955
2024,2024-06-07,classictetris4,Classic Tetris World Championship XV - Qualifying,8h15m,495,69,118,569,139,,44313603643,https://twitchtracker.com/classictetris4/streams/44313603643
2024,2024-06-08,classictetris,Classic Tetris World Championship XV - Day 2 Tournament Begins!,10h35m,635,1784,2338,18880,359,,51272529053,https://twitchtracker.com/classictetris/streams/51272529053
2024,2024-06-08,classictetris2,Classic Tetris World Championship | CTWC 2024 | Qualifying,10h30m,630,541,1078,5680,177,,44319083803,https://twitchtracker.com/classictetris2/streams/44319083803
2024,2024-06-08,classictetris3,Classic Tetris World Championship XV - Silver Bracket,8h2m,482,65,129,522,65,,44319403083,https://twitchtracker.com/classictetris3/streams/44319403083
2024,2024-06-08,classictetris4,Classic Tetris World Championship XV - Bronze Bracket,8h12m,492,60,95,492,71,,44319402475,https://twitchtracker.com/classictetris4/streams/44319402475
2024,2024-06-08,classictetris7,[日本語] Classic Tetris World Championship XV - 2日目,7h50m,470,19,24,148,4,,41357348535,https://twitchtracker.com/classictetris7/streams/41357348535
2024,2024-06-09,classictetris,Classic Tetris World Championship XV - Day 3 Finals,9h40m,580,3897,6068,37671,1147,,44319075547,https://twitchtracker.com/classictetris/streams/44319075547
2024,2024-06-09,classictetris2,Classic Tetris World Championship | CTWC 2024 | Qualifying,2h11m,131,1186,2140,2589,131,,44324241355,https://twitchtracker.com/classictetris2/streams/44324241355
2024,2024-06-09,classictetris2,Classic Tetris World Championship | CTWC 2024 | Top 8 en español,6h25m,385,43,99,275,14,,44324848123,https://twitchtracker.com/classictetris2/streams/44324848123
2024,2024-06-09,classictetris3,[GER] Classic Tetris World Championship XV - TOP 8,6h55m,415,17,32,117,18,,44324777371,https://twitchtracker.com/classictetris3/streams/44324777371
2024,2024-06-09,classictetris4,[粤语] Classic Tetris World Championship XV - Commentary Begins Top 4,0h37m,37,6,6,3,0,,42570862782,https://twitchtracker.com/classictetris4/streams/42570862782
2024,2024-06-09,classictetris5,"[FR] Le CTWC 2024 en Français ! Commenté par @GunterTetris, @Civel17 & @Cousinouf",8h30m,510,8,12,68,5,,42441206776,https://twitchtracker.com/classictetris5/streams/42441206776
2024,2024-06-09,classictetris7,[日本語] Classic Tetris World Championship XV - 3日目 (Top16～決勝),9h35m,575,24,38,230,13,,41359718951,https://twitchtracker.com/classictetris7/streams/41359718951
2024,2024-06-09,classictetris8,Mistrzostwa Świata w Tetrisie Klasycznym 2024 - NA ŻYWO PO POLSKU!,0h59m,59,6,6,5,0,,44324883195,https://twitchtracker.com/classictetris8/streams/44324883195
2024,2024-06-10,classictetris4,[粤语] Classic Tetris World Championship XV - Commentary Begins Top 4,2h19m,139,6,6,13,0,,42570917790,https://twitchtracker.com/classictetris4/streams/42570917790
2025,2025-06-06,classictetris,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | QUALIFYING | !MATCHERINO !QUAL !SU2C !DONATE,10h21m,621,612,854,6334,74,,322188826620,https://twitchtracker.com/classictetris/streams/322188826620
2025,2025-06-06,classictetris2,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | QUALIFYING | !MATCHERINO !QUAL !DONATE,7h40m,460,134,193,1027,38,,322188270460,https://twitchtracker.com/classictetris2/streams/322188270460
2025,2025-06-06,classictetris3,2025 Classic Tetris World Championship | Qualifying | Day 1 | !qual !matcherino,8h28m,508,83,154,702,66,,322187105020,https://twitchtracker.com/classictetris3/streams/322187105020
2025,2025-06-06,classictetris4,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | QUALIFYING,7h46m,466,72,109,559,80,,322187208828,https://twitchtracker.com/classictetris4/streams/322187208828
2025,2025-06-07,classictetris,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | QUALS & BRACKET PLAY | !MATCHERINO !BRACKET !QUAL !SU2C !DONATE,4h5m,245,810,1035,3307,27,,322247914876,https://twitchtracker.com/classictetris/streams/322247914876
2025,2025-06-07,classictetris,CLASSIC TETRIS WORLD CHAMPIONSHIP | !MATCHERINO !QUAL !BRACKET !SU2C !DONATE,7h0m,420,1084,1309,7588,67,,325753363197,https://twitchtracker.com/classictetris/streams/325753363197
2025,2025-06-07,classictetris2,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | QUALS & BRACKET PLAY | !MATCHERINO !QUAL !BRACKET !DONATE,4h15m,255,188,332,799,30,,322247074172,https://twitchtracker.com/classictetris2/streams/322247074172
2025,2025-06-07,classictetris2,CLASSIC TETRIS WORLD CHAMPIONSHIP | !MATCHERINO !QUAL !BRACKET !SU2C !DONATE,7h0m,420,335,559,2345,40,,322272347644,https://twitchtracker.com/classictetris2/streams/322272347644
2025,2025-06-07,classictetris2,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 1 | TGM4 JPN Commentary | !MATCHERINO !QUAL !DONATE,2h9m,129,59,69,126,4,,325679987837,https://twitchtracker.com/classictetris2/streams/325679987837
2025,2025-06-07,classictetris3,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | SILVER BRACKET | !MATCHERINO !BRACKET !QUAL !DONATE,11h36m,696,134,627,1554,114,,322246944892,https://twitchtracker.com/classictetris3/streams/322246944892
2025,2025-06-07,classictetris4,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 2 | BRONZE BRACKET | !MATCHERINO !BRACKET !QUAL !DONATE,6h34m,394,86,116,564,54,,325746704381,https://twitchtracker.com/classictetris4/streams/325746704381
2025,2025-06-08,classictetris,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 3 | CHAMPIONSHIP SUNDAY | !MATCHERINO !BRACKET !SU2C !DONATE,2h24m,144,1392,1892,3340,51,,322320461948,https://twitchtracker.com/classictetris/streams/322320461948
2025,2025-06-08,classictetris,CLASSIC TETRIS WORLD CHAMPIONSHIP | !MATCHERINO !QUAL !BRACKET !SU2C !DONATE,6h20m,380,2483,3329,15725,269,,322392046194,https://twitchtracker.com/classictetris/streams/322392046194
2025,2025-06-08,classictetris2,CLASSIC TETRIS WORLD CHAMPIONSHIP DAY 3 | CHAMPIONSHIP SUNDAY | !MATCHERINO !BRACKET !SU2C !DONATE,8h45m,525,407,2270,3561,125,,322320483452,https://twitchtracker.com/classictetris2/streams/322320483452
2025,2025-06-08,classictetris3,Classic Tetris World Championship 2025 | Japanese (日本語) Commentary,8h36m,516,56,109,481,30,,322320337020,https://twitchtracker.com/classictetris3/streams/322320337020
2025,2025-06-08,classictetris4,CLASSIC TETRIS WORLD CHAMPIONSHIP 2025 | German (Deutsch) Commentary,5h52m,352,15,23,88,13,,321425766393,https://twitchtracker.com/classictetris4/streams/321425766393
2025,2025-06-08,classictetris5,[FR] Top 16 du CTWC 2025 en Français ! Commenté par @GunterTetris,7h46m,466,12,44,93,9,,321419888505,https://twitchtracker.com/classictetris5/streams/321419888505
2025,2025-06-08,classictetris7,Classic Tetris World Championship 2025 | Polish (Polski) Commentary,5h47m,347,7,11,40,2,,321424032761,https://twitchtracker.com/classictetris7/streams/321424032761
2025,2025-06-08,classictetris8,Чемпионат мира по классическому тетрису 2025 – русскоязычный рестрим,5h52m,352,8,10,46,3,,321426702329,https://twitchtracker.com/classictetris8/streams/321426702329
2025,2025-10-17,classictetris7,Classic Tetris World Championship 2025 | Polish (Polski) Commentary,0h35m,35,11,16,6,0,,315356126551,https://twitchtracker.com/classictetris7/streams/315356126551
