year,round,match_id,game_id,game,player,won,playstyle,final_score,total_lines,no_mullen_score,no_mullen_lines,score_lvl_19_transition,lines_lvl_19_transition,score_lvl_29_transition,lines_lvl_29_transition,score_lvl_39_transition,lines_lvl_39_transition,topout_type,start_level,line_cap,same_piece_sets_active,post,post_post,game_link,twitch,youtube,country_code,country_name
2013,"Top 8",18,83,1,"Harry Hong",Yes,DAS,248387,91,248387,91,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=4,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2013,"Top 8",18,84,1,"Jani Herlevi",No,DAS,202170,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=4,https://www.twitch.tv/janutzska,https://www.youtube.com/@janutzska,FIN,Finland
2013,"Top 8",18,85,2,"Harry Hong",Yes,DAS,574866,241,574866,241,354106,150,NULL,NULL,NULL,NULL,Natural,13,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=272,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2013,"Top 8",18,86,2,"Jani Herlevi",No,DAS,559387,251,NULL,NULL,411527,150,558187,250,NULL,NULL,Natural,13,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=272,https://www.twitch.tv/janutzska,https://www.youtube.com/@janutzska,FIN,Finland
2013,"Top 8",19,87,1,Buco,Yes,DAS,792471,232,781891,224,484931,132,791271,231,NULL,NULL,Natural,18,NULL,No,306340,1200,https://youtu.be/qXU2Jf9T7Yw?t=1,https://www.twitch.tv/mobuco,https://www.youtube.com/@mabu100,USA,"United States"
2013,"Top 8",19,88,1,"Trey Harrison",No,DAS,533340,198,NULL,NULL,383900,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,149440,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1,https://www.twitch.tv/treylorswift,https://www.youtube.com/@t2048,USA,"United States"
2013,"Top 8",19,89,2,Buco,No,DAS,512406,162,NULL,NULL,462646,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,49760,NULL,https://youtu.be/qXU2Jf9T7Yw?t=592,https://www.twitch.tv/mobuco,https://www.youtube.com/@mabu100,USA,"United States"
2013,"Top 8",19,90,2,"Trey Harrison",Yes,DAS,515060,204,512900,202,425320,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,89740,NULL,https://youtu.be/qXU2Jf9T7Yw?t=592,https://www.twitch.tv/treylorswift,https://www.youtube.com/@t2048,USA,"United States"
2013,"Top 8",19,91,3,Buco,Yes,DAS,520546,166,520546,166,444366,132,NULL,NULL,NULL,NULL,Natural,18,NULL,No,76180,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1211,https://www.twitch.tv/mobuco,https://www.youtube.com/@mabu100,USA,"United States"
2013,"Top 8",19,92,3,"Trey Harrison",No,DAS,483120,162,NULL,NULL,449080,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,34040,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1211,https://www.twitch.tv/treylorswift,https://www.youtube.com/@t2048,USA,"United States"
2013,Semis,20,93,1,Jonas,Yes,DAS,476306,214,473506,212,317966,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,158340,NULL,https://youtu.be/BwcEG5YLxok?t=2,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2013,Semis,20,94,1,Chad,No,DAS,466760,144,NULL,NULL,455680,132,NULL,NULL,NULL,NULL,Natural,18,NULL,No,11080,NULL,https://youtu.be/BwcEG5YLxok?t=2,NULL,NULL,USA,"United States"
2013,Semis,20,95,2,Jonas,Yes,DAS,430851,156,430851,156,385651,131,NULL,NULL,NULL,NULL,Natural,18,NULL,No,45200,NULL,https://youtu.be/BwcEG5YLxok?t=552,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2013,Semis,20,96,2,Chad,No,DAS,394940,163,NULL,NULL,322300,133,NULL,NULL,NULL,NULL,Natural,18,NULL,No,72640,NULL,https://youtu.be/BwcEG5YLxok?t=552,NULL,NULL,USA,"United States"
2013,Semis,21,97,1,"Harry Hong",Yes,DAS,160744,48,160744,48,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/BwcEG5YLxok?t=2,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2013,Semis,21,98,1,Buco,No,DAS,86444,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/BwcEG5YLxok?t=2,https://www.twitch.tv/mobuco,https://www.youtube.com/@mabu100,USA,"United States"
2013,Semis,21,99,2,"Harry Hong",Yes,DAS,489702,182,489702,182,399182,131,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,90520,NULL,https://youtu.be/BwcEG5YLxok?t=552,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2013,Semis,21,100,2,Buco,No,DAS,434537,163,NULL,NULL,338497,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,96040,NULL,https://youtu.be/BwcEG5YLxok?t=552,https://www.twitch.tv/mobuco,https://www.youtube.com/@mabu100,USA,"United States"
