year,round,match_id,game_id,game,player,won,playstyle,final_score,total_lines,no_mullen_score,no_mullen_lines,score_lvl_19_transition,lines_lvl_19_transition,score_lvl_29_transition,lines_lvl_29_transition,score_lvl_39_transition,lines_lvl_39_transition,topout_type,start_level,line_cap,same_piece_sets_active,post,post_post,game_link,twitch,youtube,country_code,country_name
2011,"Top 8",5,21,3,"Dana Wilcox",No,DAS,27572,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/Vw607VRrUd4?t=657,NULL,https://www.youtube.com/@danawilcox1811,USA,"United States"
2011,"Top 8",5,22,3,"Alex Kerr",Yes,DAS,47296,10,47296,10,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/Vw607VRrUd4?t=657,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2011,Semis,6,23,1,Jonas,Yes,DAS,600271,184,600271,184,466051,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,134220,NULL,https://youtu.be/feJ4lhgWg_E?t=157,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2011,Semis,6,24,1,"Robin Mihara",No,DAS,526663,188,NULL,NULL,389782,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,136881,NULL,https://youtu.be/feJ4lhgWg_E?t=157,https://www.twitch.tv/tetrismattress,https://www.youtube.com/@robinmihara2418,USA,"United States"
2011,Semis,6,25,2,Jonas,Yes,DAS,359426,133,359426,133,356626,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,2800,NULL,https://youtu.be/feJ4lhgWg_E?t=632,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2011,Semis,6,26,2,"Robin Mihara",No,DAS,356285,115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/feJ4lhgWg_E?t=632,https://www.twitch.tv/tetrismattress,https://www.youtube.com/@robinmihara2418,USA,"United States"
2011,Semis,7,27,1,"Harry Hong",No,DAS,372938,109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/0TmCIdH3x00?t=203,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2011,Semis,7,28,1,"Alex Kerr",Yes,DAS,373923,152,373923,152,354923,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,19000,NULL,https://youtu.be/0TmCIdH3x00?t=203,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2011,Semis,7,29,2,"Harry Hong",Yes,DAS,387710,142,387710,142,377094,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,10616,NULL,https://youtu.be/0TmCIdH3x00?t=617,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2011,Semis,7,30,2,"Alex Kerr",No,DAS,363752,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/0TmCIdH3x00?t=617,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2011,Semis,7,31,3,"Harry Hong",No,DAS,416132,132,NULL,NULL,414132,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,2000,NULL,https://youtu.be/0TmCIdH3x00?t=963,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2011,Semis,7,32,3,"Alex Kerr",Yes,DAS,417220,141,417220,141,407540,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,9680,NULL,https://youtu.be/0TmCIdH3x00?t=963,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2011,Finals,8,33,1,Jonas,Yes,DAS,586746,191,586746,191,446326,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,140420,NULL,https://youtu.be/E0wAjofNk2c?t=110,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
